2011
KShs
"4,459,551"
"999,994,552"
"1,004,454,103"
"( 795,650,104"
"208,803,999"
"6,030,535,384"
"41,133,694,352"
"47,164,229,736"
"( 594,098,458"
"46,570,131,278"
"46,778,935,277"
