Key Ratios,Q1 2023,FY 2022,Q1 2022,Q1 2021
"Cost to income
ratio",68%,73%,76%,71%
Cost of Risk,4.0%,6.5%,0.3%,0.3%
ROE,1.2%,-11%,6.2%,6.3%
ROA,0.2%,-1.7%,1.0%,1.0%
