Group,Contractual cash flow,Column,Column,Column,Column,Column,Column
31 December 2023,Within 1 month,"Due within 1-3
months","Due between
3-12 months","Due between
1-5 years","Due after 5
years",Total,"Carrying
Value"
,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs’000
,"10,772,362","17,759,986","6,741,866","3,480,663","3,783,513","42,538,390","39,499,089"
,"56,011","769,041",-,-,-,"825,052","769,041"
,"152,244,711","135,017,470","100,448,952","21,916,806","12,797,291","422,425,230","416,674,435"
,"1,639,950","5,129,248","628,634","397,624",-,"7,795,456","5,524,424"
,"65,795",-,"225,416","5,113,066","377,322","5,781,599","5,739,099"
,-,-,"406,924","5,285,852","10,872,250","16,565,026","12,532,190"
,"47,037,060","19,623,820","116,618,156","4,774,346","5,177","188,058,559","188,058,559"
,-,-,"1,593,075",-,-,"1,593,075","1,593,075"
,"200,636","149,155","673,224","1,760,923","394,627","3,178,565","2,585,140"
,"212,016,525","178,448,720","227,336,247","42,729,280","28,230,180","688,760,952","672,975,052"
