Key Ratios,H1 2023,FY 2022,H1 2022,H1 2021
Loan to Deposit Ratio,82%,80%,84%,89%
Net NPA,14%,11%,5.3%,6.7%
"Total Capital/Total Risk
Weighted Assets",24%,16%,18%,18%
Liquidity Ratio,26%,27%,31%,28%
