"Software
KShs’000","Capital work
in progress
KShs’000","Total
KShs’000"
"1,359,595","292,643","1,652,238"
"256,162","1,172,612","1,428,774"
"631,855","( 631,855)",-
-,"4,010","4,010"
"( 41,550)","( 15,230)","( 56,780)"
"2,206,062","822,180","3,028,242"
"1,124,274",-,"1,124,274"
"189,610",-,"189,610"
"( 21,524)",-,"( 21,524)"
"1,292,360",-,"1,292,360"
"913,702","822,180","1,735,882"
