Particulars,Dec-19,Jun-20,Jun-19,"Jun 20 vs
Jun 19"
,Kshs Mn,Kshs Mn,,Y-Y % ▲
,,"6,919",,
,,"4,213",,
Total Operating Income,"23,795","11,132","11,554",-4%
,,"5,024",,
Profit before Loan Loss Provisions,"14,334","6,108","6,925",-12%
,,"1,031",,
Profit before Share of JV,"13,698","5,077","5,816",-13%
,,(580),,
Profit Before Tax,"14,603","4,497","6,220",-28%
,,"3,190",,
