Other comprehensive income,Column,Column
"Fair value gain/(loss) financial assets
measured at FVOCI","240,202","(737,770)"
"Deferred tax on financial assets
measured at FVOCI","(67,256)","221,331"
"Total other comprehensive income
for the period","8,182,956","4,137,866"
