Name of Director,Number of Shares,% Shareholding
"Mr. Suresh B R Shah, MBS","44,161,625",10.68%
Mr. Sarit S. Raja Shah,"8,479,286",2.05%
Mr. Sachit S. Raja Shah,"8,395,468",2.03%
