Category of asset/liability,Valuation techniques applied,Significant observable inputs
"Cash and cash equivalents, items in course of
collection, loans and advances to banks and
due from group companies","Carrying amount since the amounts are
receivable on demand as at the reporting
date",
Loans and advances to customers,Discounted cash flow models,"Interest rates, expected lifetime credit losses,
prepayments rates and primary origination or
secondary market spreads"
"Government trading securities/ Government
securities",Prices quoted in an active market,"Quoted yields and bid offer adjustment that
management has estimated as the reasonable
basis for applying the adjustment"
Foreign exchange derivatives,"Discounted cash flow techniques and/or
option pricing models, such as the Black
Scholes model","Spot price, interest rate and/ or volatility"
Deposits,"A substantial proportion of deposits mature
within 12 months and hence the fair value
approximates their carrying amounts.",
