Key Ratios,Q1 2023,FY 2022,Q1 2022,Q1 2021
Loan to Deposit Ratio,90%,80%,86%,90%
Net NPA,14%,11%,8%,9%
"Total Capital/Total Risk
Weighted Assets",20%,16%,20%,18%
Liquidity Ratio,25%,27%,30%,26%
