"I&M Bank
(T) Ltd","I&M Bank
(Rwanda) PLC","I&M Burbidge
Capital Limited","Giro
Limited"
9.10%,10.98%,10.46%,10.46%
10.83%,10.33%,9.33%,9.33%
3.00%,3.00%,4.00%,4.00%
20%,21%,20%,20%
KShs 1 = Tzs 21.24,KShs 1 = Rwf 9.08,KShs 1 = KShs 1,KShs 1 = KShs 1
3.428,3.179,0.19,5.242
Nil,Nil,Nil,Nil
