"HISTORY
Particulars",Dec-18,Dec-19,Dec-20,20 vs 19
,Kshs Mn,Kshs Mn,Kshs Mn,Y-Y % ▲
,,,"19,403",
,,,"120,047",
,,,"187,391",
,,,"31,258",
Total Assets,"288,522","315,291","358,100",14%
,,,"262,681",
,,,"14,773",
,,,"12,582",
Total Liabilities,"237,648","254,429","290,037",14%
Shareholders' Funds,"50,874","60,862","68,063",12%
