Key Ratios,2022,2023,2024
,4.2%,2.4%,4.8%
,1.6%,2.0%,1.2%
,79%,83%,64%
,60%,62%,51%
,1.5%,1.4%,2.0%
,13.9%,14.2%,21.2%
,1.9%,1.8%,2.5%
