Column,Group,Column,Company,Column
Note,2024,2023,2024,2023
,Kshs ‘000,"Kshs ‘000
41,275,497
399,994
2,779,798
60,287,145
54,350,036
59,176,989
311,330,840
307,501
-
690,697
7,349,298
7,878,467
-
14,487,824
3,176,250
4,315,881
11,913,221",Kshs ‘000,
,"33,462,962",,-,
,"675,775",,-,
,"1,098,455",,-,
,"71,762,934",,"910,411",
,"88,950,668",,-,
,"48,819,355",,"847,184",
,"287,082,574",,-,
,"507,314",,-,
,-,,"755,366",
,"189,106",,"10,021",
,"7,107,653",,500,
,"6,514,568",,"2,515,591",
,-,,"34,698,390",
,"15,999,921",,-,
,"2,948,940",,-,
,"3,948,134",,-,
,"12,211,941",,"33,342",
,"581,280,300","579,719,438","39,770,805",
,,"39,499,089
416,674,435
769,041
219,406
-
8,109,564
476,359
5,739,099
12,532,190",,
,"35,046,478",,-,
,"412,179,477",,-,
,"3,291,106",,-,
,"1,325,662",,-,
,-,,"14,520",
,"13,062,216",,"2,308,212",
,"658,429",,-,
,"3,759,188",,-,
,"10,310,689",,-,
,"479,633,245","484,019,183","2,322,732",
,,"1,653,621
17,561,629
57,859,356
1,241,566
(5,046,809)
3,838,683
11,249,371
-
(184,268)",,
,"1,653,621",,"1,653,621",
,"17,561,629",,"17,561,629",
,"65,953,970",,"18,289,438",
,"1,460,251",,-,
,"(2,256,079)",,"(56,615)",
,"(1,756,351)",,-,
,"12,167,593",,-,
,"(83,403)",,-,
,"(227,168)",,-,
,"94,474,063","88,173,149
7,527,106","37,448,073",
,"7,172,992",,-,
,"101,647,055","95,700,255","37,448,073",
,"581,280,300","579,719,438","39,770,805",
