"2011
KShs"
"68,176,680"
"1,072,597,058"
"5,113,296,781"
"6,254,070,519"
"11,517,911,630"
"1,254,947,902"
"658,861,745"
"13,431,721,277"
"19,685,791,796"
"68,176,680"
"993,517,331"
"5,113,296,781"
"6,174,990,792"
"9,415,490,391"
"47,911,000"
"9,463,401,391"
"15,638,392,183"
