Shareholder,Purpose of engagement,Methods of engagement
Customers,"• To understand their aspirations, businesses and financial-services
needs better
• To provide appropriate advice, proactive financial solutions, and
value-adding services
• To ensure the Group maintains high service levels that they
expect and deserve
• To inform product development and prioritisation
• To develop products that embody customer-centric innovation
• To ensure accuracy of customers’ personal and/or business
information","• Interactions through sales agents, branch outlets, relationship
managers, regional heads, senior management, call centers, and
other alternate banking channels
• Customer events, face-to-face meetings, and other surveys,
as well as marketing and advertising activities Formal written
correspondence, emailers and newsletters and messages
disseminated through social media"
Employees,"• To provide staff with strategic direction and keep them informed
about group activities
• To ensure that we remain an employer of choice that provides a
safe, positive, and inspiring working environment
• To understand and respond to the needs and concerns of staff
members","• Regular, direct communication between managers, teams and
individuals
• Robust combination of face-to-face, written, digital and broadcast
communications, culture and engagement surveys that include
emails and intranet communications
• CEO’s monthly newsletter, town hall meetings, cluster and group
recognition functions"
Regulators,"• To maintain open, honest, and transparent relationships and
ensure compliance with all legal and regulatory requirements
• To retain our various operating licenses and minimise operational
risk","• Various industry and regulatory forums, meetings between
regulators and our board and management
• This includes one-on-one discussions with various executive officials
at prudential meetings as well as onsite meetings"
Shareholders,"• To provide current and future shareholders with relevant and
timely information
• To manage shareholder expectations and reputational risk
• To maintain strong relationships and keep abreast of market
developments
• To ensure good governance and deepen the trust placed in us and
our brand
• To get feedback that informs our strategy, business operations
and how we govern","• Annual General Meetings, Extraordinary General Meetings as and
when called for
• Investor briefings for year-end and /or interim results
announcements and roadshows
• Various investor group meetings
• Individual meetings with media,shareholders and analysts"
"Government agencies, local
authorities and
industry forums","• To build and strengthen relationships with the various
governments, both as partners in the development of the country
and as key clients
• To provide input into legislative development processes that will
affect the economy and our activities and operations
• To participate visibly in and be a partner to the transformation of
the local economy
• To continue learning through interaction with the industry and
cross-sectoral organisations
• To use business associations as a forum through which we can
promote our viewpoints on key industry issues
• To influence and/or promote common agendas","• Various engagements with national and county officials,
participation in consultative industry and sector forums"
Media,"• To leverage the reach and influence of media channels to share
our business and value creation story with stakeholders
• To empower their audiences to make informed financial decisions","• To leverage the reach and influence of media channels to share our
business and value creation story with stakeholders
• To empower their audiences to make informed financial decisions"
"Service providers and
suppliers","• As required or dictated by performance contracts and/or
agreements
• To obtain products or services required for conducting Group
business
• To maintain an ideal and timely supply of goods and services for
operations
• To encourage responsible practices across our supply chain, local
procurement, supplier conduct and environmental considerations
• To include critical suppliers in cross-functional teams to
contribute expertise and advice before specifications are
developed for products or services","• One-on-one negotiations and meetings for finalisation follow up and
after sales service"
