"Computer
Software","Capital work
in progress",Total
KShs’000,KShs’000,KShs’000
"829,118","39,187","868,305"
"45,313","135,456","180,769"
"105,626","(105,626)",-
"27,491",-,"27,491"
-,"( 16,034)","( 16,034)"
"1,007,548","52,983","1,060,531"
"706,599",-,"706,599"
"17,518",-,"17,518"
"96,603",-,"96,603"
"820,720",-,"820,720"
"186,828","52,983","239,811"
