Key Ratios,Q1 2023,FY 2022,Q1 2022,Q1 2021
Loan to Deposit Ratio,62.5%,78.5%,77.7%,72.2%
Net NPA,2.2%,2.8%,1.1%,1.5%
"Total Capital/Total Risk
Weighted Assets",19.1%,21%,20.2%,19.2%
Liquidity Ratio,42.7%,42%,55.8%,58.0%
