"Cost to
income ratio",66%,73%,75%,77%
Cost of Risk*,0.8%,6.5%,0.9%,0.3%
ROE*,4.5%,-11%,5.0%,5.0%
ROA*,0.7%,-1.7%,1.0%,1.0%
