Key Ratios,Q1 2022,Dec-2021
Loan to Deposit Ratio,37.1%,34.3%
Net NPA,4.6%,1.1%
"Total Capital / Total
Risk Weighted Assets",16.4%,14.7%
Liquidity Ratio,51.8%,52.1%
