Column,Statement of Comprehensive Income,YTD Sep-20,YTD Sep-21,Sep 21 vs Sep 20,Comments
,,Kshs Mn,Kshs Mn,Y-Y %,
"Net Interest Income 10,401
Non-Funded Income 6,409",,,"13,988","Growth in income from government securities and
34% decline in interest expense as a result of increased low
cost deposits.
-3% Marginal decline in treasury and bond trading income.",
,,,"6,184",,
,Total Operating Income,"16,809","20,173",20%,
"Operating Expenses 7,587",,,"9,702","Increase attributed to continued investment in
28%
digitization.",
,Profit beforeLoan Loss Provisions,"9,223","10,470",14%,
"Loan Loss Provisions 2,150",,,"2,825","Increase in provision to cater for the portfolio in
31%
sectors still impacted by COVID 19.",
,Profit before Share of JV,"7,073","7,645",8%,
Share of Profit from JV (575),,,450,"Improved performance at Bank One benefiting from
178%
loan recoveries.",
,Profit Before Tax,"6,498","8,095",25%,
"Profit After Tax 4,588",,,"5,738",25%,
