"2020
KShs ‘000",Column,"2020
KShs ‘000"
"( 37,519)",,-
"75,118",,
"( 80,436)",,-
"321,564",,801
"317,658",,-
"596,385","( 534,935)",801
"9,008,943","10,233,679","3,371,387"
,"10,309,038
459,576",
"8,073,855",,"3,370,586"
"338,703",,-
"8,412,558","10,768,614","3,370,586"
,"9,871,024
362,655",
"8,498,802",,"3,371,387"
"510,141",,-
"9,008,943","10,233,679","3,371,387"
9.77,12.47,4.08
