Details,2018,2017
,KShs,KShs
Salary,"30,490,200","29,520,000"
Bonus,"3,465,000","8,800,000"
Pension,"2,154,165","2,079,000"
Insurance,"2,690,154","2,254,815"
Total,"38,799,519","42,653,815"
