3 months period to 31 March 2021,"Share
capital
Kshs '000'
8 26,811
-
-","Share
premium
Kshs '000'
1 8,390,507
-
-","Revaluation
reserve
Kshs '000'
9 29,217
-
-","Fair value
Reserve
Kshs '000'
( 36,599)
-
( 298,060)","Statutory loans
reserve
Kshs '000'
5 ,867,908
-
8 75,418","Retirement
reserve
Kshs '000'
( 138,561)
-
-","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
3 9,610,553
1 ,790,561
( 876,153)","Translation
reserve
Kshs '000'
( 1,260,493)
-
( 124,952)","Total
Kshs '000'","Non controlling
interest
Kshs '000'
3 ,873,796
9 6,388
( 482)","Total
Kshs '000'"
"At 1 January 2021
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Transactions with owners:
Other transactions
Dividends Paid
Total transactions with owners for the period
Balance as at 31 March 2021",,,,,,,,,,,,
,,,,,,,"5 ,729,347",,,"6 4,189,343",,"6 8,063,139"
,,,,,,,-,,,"1 ,790,561",,"1 ,886,949"
,,,,,,,"8 75,418",,,"( 423,747)",,"( 424,229)"
,-,-,-,"( 298,060)","8 75,418",-,"8 75,418","9 14,408","( 124,952)","1 ,366,814","9 5,906","1 ,462,720"
,"-
-","-
-","-
-","-
-","-
-","-
-",,"-
-","-
-",,"-
-",
,,,,,,,,,,-,,-
,,,,,,,-,,,-,,-
,,,,,,,-,,,-,,-
,-,-,-,-,-,-,-,-,-,-,-,-
,"8 26,811","1 8,390,507","9 29,217","( 334,659)","6 ,743,326","( 138,561)","6 ,604,765","4 0,524,961","( 1,385,445)","6 5,556,157","3 ,969,702","6 9,525,859"
For the year ended 31 December 2020,"Share
capital
Kshs '000'
826,811
-
-","Share
premium
Kshs '000'
1 8,390,507
-
-","Revaluation
reserve
Kshs '000'
875,985
-
53,232","Fair value
Reserve
Kshs '000'
(273,802)
-
237,203","Statutory loans
reserve
Kshs '000'
5 ,518,392
-
349,516","Retirement
reserve
Kshs '000'
(101,042)
-
(37,519)","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
3 3,918,324
8 ,073,855
(333,558)","Translation
reserve
Kshs '000'
(1,416,566)
-
156,073","Total
Kshs '000'","Non controlling
interest
Kshs '000'
3,123,564
338,703
171,438","Total
Kshs '000'"
"At 1 January 2020
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Transactions with owners:
Other transactions
Dividends Paid
Total transactions with owners for the year
Balance as at 31 December 2020",,,,,,,,,,,,
,,,,,,,"5 ,417,350",,,"57,738,609",,"60,862,173"
,,,,,,,-,,,"8,073,855",,"8,412,558"
,,,,,,,"3 11,997",,,"4 24,947",,"596,385"
,-,-,"53,232","237,203","349,516","(37,519)","3 11,997","7 ,740,297","156,073","8,498,802","510,141","9,008,943"
,"-
-","-
-","-
-","-
-","-
-","-
-",,"60,299
(2,108,367)","-
-",,"-
240,091",
,,,,,,,-,,,"6 0,299",,"60,299"
,,,,,,,-,,,"(2,108,367)",,"(1,868,276)"
,-,-,-,-,-,-,-,"(2,048,068)",-,"(2,048,068)","240,091","(1,807,977)"
,"826,811","1 8,390,507","929,217","(36,599)","5 ,867,908","(138,561)","5 ,729,347","3 9,610,553","(1,260,493)","64,189,343","3,873,796","68,063,139"
3 months period to 31 March 2020,"Share
capital
Kshs '000'
8 26,811
-
-","Share
premium
Kshs '000'
1 8,390,507
-
-","Revaluation
reserve
Kshs '000'
8 75,985
-
( 6,505)","Fair value
Reserve
Kshs '000'
( 273,802)
-
1 ,427","Statutory loans
reserve
Kshs '000'
5 ,518,392
-
7 33,860","Retirement
reserve
Kshs '000'
( 101,042)
-
-","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
3 3,918,324
1 ,564,036
( 724,611)","Translation
reserve
Kshs '000'
( 1,416,566)
-
( 38,107)","Total
Kshs '000'","Non controlling
interest
Kshs '000'
3 ,123,564
9 8,658
1 57,438","Total
Kshs '000'"
"At 1 January 2020
Total comprehensive income for the period
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Transactions with owners:
Other transactions
Dividends Paid
Total transactions with owners for the year
Balance as at 31 March 2020",,,,,,,,,,,,
,,,,,,,"5 ,417,350",,,"5 7,738,609",,"6 0,862,173"
,,,,,,,-,,,"1 ,564,036",,"1 ,662,694"
,,,,,,,"7 33,860",,,"( 33,936)",,"1 23,502"
,-,-,"( 6,505)","1 ,427","7 33,860",-,"7 33,860","8 39,425","( 38,107)","1 ,530,100","2 56,096","1 ,786,196"
,"-
-","-
-","-
-","-
-","-
-","-
-",,"60,299
-","-
-",,"( 60,299)
-",
,,,,,,,-,,,"6 0,299",,-
,,,,,,,-,,,-,,-
,-,-,-,-,-,-,-,"6 0,299",-,"6 0,299","( 60,299)",-
,"8 26,811","1 8,390,507","8 69,480","( 272,375)","6 ,252,252","( 101,042)","6 ,151,210","3 4,818,048","( 1,454,673)","5 9,329,008","3 ,319,361","6 2,648,369"
- - - - - - - - - -,,,,,,,,,,,,
