Group,Column,Company,Column
2024,2023,2024,2023
Kshs’000,"Kshs’000
57,623,200
(1,384,935)
(1,272,378)
-
53,841",Kshs’000,
"3,558,168",,"4,107,782",
"(3,644,135)",,-,
"(901,298)",,-,
-,,"(2,400,000)",
"184,174",,-,
"(4,361,259)","(2,603,472)","(2,400,000)",
,"(1,076,978)
(1,741,298)
(3,720,648)
(152,094)
545,553
(31,375)
(869,926)",,
"(873,579)",,-,
-,,-,
"(4,216,735)",,"(4,216,735)",
"(106,236)",,-,
-,,-,
-,,-,
"(1,206,179)",,-,
"(6,402,729)","(7,046,766)","(4,216,735)",
"(7,205,820)","47,972,962
27,082,130
2,793,165","(2,508,953)",
"77,848,257",,"3,264,319",
"(13,742,877)",,-,
"56,899,560","77,848,257","755,366",
