Particulars,Dec-19,Jun-20,Jun-19,20 vs 19
,Kshs Mn,Kshs Mn,,Y-Y % ▲
,,"19,068",,
,,"107,484",,
,,"184,565",,
,,"29,523",,
Total Assets,"315,291","340,640","317,054",7%
,,"252,484",,
,,"9,977",,
,,"16,110",,
Total Liabilities,"254,429","278,570","261,620",6%
Shareholders' Funds,"60,862","62,070","55,434",12%
