2023,Column
i) Building & construction,Public debt to GDP
ii) Personal & household,Ninety-one-day Treasury bills
"iii) Social, community and personal",Reverse REPO
"iv) Tourism, restaurants and hotels",Reverse REPO
v) Trade,Reverse REPO
,Public debt to GDP
