GROUP,Column
AUDITED,AUDITED
"31-Dec
2019
KShs '000'","31-Dec
2018
KShs '000'"
"27,163,847
(11,654,006)","25,998,868
(10,404,686)"
"15,509,841","15,594,182"
"3,993,648
(313,915)","3,936,092
( 258,305)"
"3,679,733","3,677,787"
"19,189,574
3,835,815
456,078","19,271,969
3,107,748
553,501"
"23,481,467","22,933,218"
"(636,455)","( 3,807,345)"
"2 2,845,012","19,125,873"
"(4,727,698)
(423,951)
(2,829,772)
(1,165,520)","(4,108,876)
(748,058)
(2,769,620)
(596,849)"
"(9,146,941)","(8,223,403)"
"13,698,071
905,037","10,902,470
595,310"
"14,603,108
(3,834,494)","11,497,780
(2,994,423)"
"10,768,614","8,503,357"
"(534,935)","( 905,276)"
"1 0,233,679","7,598,081"
"1 0,309,038
4 59,576","7,950,819
552,538"
"1 0,768,614","8,503,357"
"9 ,871,024
3 62,655","7,240,716
357,365"
"1 0,233,679","7,598,081"
