Key Ratios,H1 2023,FY 2022,H1 2022,H1 2021
Loan to Deposit Ratio,77%,79%,75%,74%
Net NPA,6.8%,2.6%,2.2%,4.7%
"Total Capital/Total Risk
Weighted Assets",18%,20%,21%,19%
Liquidity Ratio,38%,39%,40%,46%
