2024,Column,"General
government
gross debt","Current
account
balance","Public Debt
to GDP","Unemployment
Rate"
Base economic assumption,12_M Avg,51.00%,(6.60%),51.11%,3.31%
,60_M Avg,46.10%,(5.13%),43.86%,3.33%
,Peak,40.28%,(3.05%),36.33%,3.23%
Upside economic assumption,12_M Avg,50.47%,(5.87%),50.60%,3.14%
,60_M Avg,45.58%,(4.40%),43.35%,3.16%
,Peak,39.76%,(2.32%),35.82%,3.06%
Downside economic assumption,12_M Avg,51.52%,(7.33%),51.62%,3.47%
,60_M Avg,46.63%,(5.86%),44.37%,3.49%
,Peak,51.88%,(7.36%),51.91%,3.52%
