Column,"BANK BA
UNAUDITED AUDI
MAR 2017 DEC 2
(KSHS’000) (KSHS’","NK BANK
TED UNAUDITED
017 MAR 2018
000) (KSHS’000)"
"01.NON-PERFORMING LOANS AND ADVANCES
a) Gross Non- performing Loans and advances
Less
b) Interest in suspense","8,240,527 17,668,
2,235,102 2,223,","513 20,266,495
192 3,097,456"
"c) Total Non-performing loans and advances
(a-b)
Less
d) Loan loss provisions","6,005,425 15,445,
2,610,075 4,103,","321 17,169,039
198 4,599,315"
e) Net Non Performing Loans (c-d),"3,395,350 11,342,","123 12,569,724"
f) Discounted value of securities,"3,395,350 11,342,","123 12,569,724"
g) Net NPLs exposure (e-f),-,- -
"02. INSIDER LOANS AND ADVANCES
a) Directors, shareholders and associates
b) Employees","1,910,900 2,139,
1,220,732 1,326,","497 3,542,166
950 1,365,624"
c) Total Insider Loans and Advances,"3,131,632 3,466,","447 4,907,790"
"03. OFF-BALANCE SHEET ITEMS
a) Letters of Credit, Guarantees, Acceptances
b) Forwards, swaps and options
c) Other contingent liabilities","32,478,080 37,298,
27,227,498 16,276,
3,617,581 4,634,","075 39,563,382
454 20,538,804
904 4,014,136"
d) Total Contingent liabilities,"63,323,159 58,209,","433 64,116,322"
"04. CAPITAL STRENGTH
a) Core capital
b) Minimum statutory capital","25,438,009 29,790,
1,000,000 1,000,","221 30,438,121
000 1,000,000"
"c) Excess/(deficiency)
d) Supplementary capital","24,438,009 28,790,
2,190,544 2,437,","221 29,438,121
143 1,508,802"
e) Total capital (a+d),"27,628,553 32,227,","364 31,946,923"
"f) Total risk weighted assets
g) Core capital/Total deposit liabilities
h) Minimum statutory ratio","163,589,578 173,455,
18.65% 21.8
8.00% 8.0","079 175,301,908
8% 21.73%
0% 8.00%"
i) Excess /(Deficiency) (g-h),10.65% 13.8,8% 13.73%
"j) Core capital/Total risk weighted assets
k) Minimum statutory ratio","15.55% 17.1
10.50% 10.5","7% 17.36%
0% 10.50%"
l) Excess/(Deficiency) (j-k),5.05% 6.6,7% 6.86%
"m)Total capital/Total risk weighted assets
n) Minimum statutory ratio","16.89% 18.5
14.50% 14.5","8% 18.22%
0% 14.50%"
o) Excess/(Deficiency) (m-n),2.39% 4.0,8% 3.72%
"(p) Adjusted Core Capital/Total Deposit
Liabilities*",-,- 21.78%
"(q) Adjusted Core Capital/Total Risk Weighted
Assets*",-,- 17.40%
"(r) Adjusted Total Capital/Total Risk Weighted
Assets*",-,- 18.69%
"05. LIQUIDITY
a) Liquidity ratio
b) Minimum statutory ratio","40.79% 34.6
20.00% 20.0","2% 35.66%
0% 20.00%"
c) Excess/(Deficiency) (a-b),20.79% 14.6,2% 15.66%
