Key Ratios,Q1 2023,FY 2022,Q1 2022,"Q1
2021"
Loan to Deposit Ratio,52%,53%,43%,39%
Net NPA,0.3%,0.3%,0.3%,2.1%
"Total Capital/Total Risk
Weighted Assets",17%,18%,21%,19%
Liquidity Ratio,30%,33%,42%,55%
