"Loan to Deposit
Ratio",56%,53%,60%,56%
Net NPA,2.6%,0.3%,2.0%,3.0%
"Total Capital/Total
Risk Weighted
Assets",18%,18%,20%,21%
Liquidity Ratio,43%,33%,39%,39%
