Loan to Deposit Ratio,84%,80%,80%,89%
Net NPA,15%,11%,11%,7.0%
"Total Capital/Total Risk
Weighted Assets",19%,16%,18%,20%
Liquidity Ratio,30%,27%,32%,27%
