Key Ratios,Q1 2023,FY 2022,Q1 2022,Q1 2021
Cost to income ratio,37%,36%,37%,42%
Cost of Risk,2.9%,2.3%,1.9%,1.9%
ROE,16.9%,18.3%,14.0%,11.7%
ROA,2.5%,3.1%,2.4%,2.1%
