Key Ratios,2022,2023,2024
,17.6%,17.5%,8.4%
,11.0%,11.1%,6.4%
,80%,84%,79%
,73%,62%,55%
,6.5%,5.4%,4.9%
,-10.9%,4.8%,13.6%
,-1.7%,0.7%,2.0%
