Event/communication,Date
Financial year end,31 December
Release of full year results,26 March 2024
Investor briefing full year 2023 results,25 March 2024
Announcement of the Annual General Meeting,24 April 2024
Annual General Meeting,24 May 2024
Release of Quarter 1 Financial results,23 May 2024
Release of Half Year Financial results,21 Aug 2024
Investor briefing Half Year 2024 results,22 Aug 2024
Release of Quarter 3 Financial results,20 Nov 2024
General Meeting,10 Dec 2024
