Key Ratios,Q1 2023,FY 2022,Q1 2022,Q1 2021
Loan to Deposit Ratio,82%,79%,71%,72%
Net NPA,2.9%,2.6%,2.7%,5.2%
"Total Capital/Total Risk
Weighted Assets",19%,20%,21%,22%
Liquidity Ratio,37%,39%,47%,48%
