Key Ratios,Q1 2022,Q1 2021
Loan to Deposit Ratio,46.5%,39.2%
Net NPA,0.4%,2.1%
"Total Capital / Total
Risk Weighted Assets",20.5%,18.8%
Liquidity Ratio,41.5%,54.7%
