Name of Director,"March 21,
2014","June 10,
2014","September 23,
2014","December 05,
2014",% Attendance
Mr. S B R Shah (Chairman),√,√,√,√,100%
Mr. Michael J. Karanja,√,√,X,X,50%
Mr. Eric M. Kimani,√,√,√,√,100%
Mr. Sarit S Raja Shah,√,√,√,√,100%
Mr. Sachit Shah,√,√,√,√,100%
Mr. Paul C.M. Kibati,√,√,√,√,100%
Mr. M. Soundararajan,√,√,X,√,75%
Mr Arun S Mathur,√,X,√,√,75%
