Key Ratios,2022,2023,2024
,20%,4.6%,4.9%
,1.9%,3.8%,2.2%
,38%,48%,54%
,90%,80%,78%
,-7.1%,0.8%,-0.2%
,7.3%,6.8%,9.8%
,1.2%,1.3%,2.0%
