6 months period to 30 June 2016,"Share
capital
Kshs '000'
3 92,362
-
-","Share
premium
Kshs '000'
1 7,331,510
-
-","Revaluation
reserve
Kshs '000'
4 46,744
-
-","Available for sale
Reserve
Kshs '000'
( 502,206)
-
3 80,904","Statutory Loans
reserve
Kshs '000'
7 80,829
-
-","General Banking
reserve
Kshs '000'
1 31,788
-
-","Retirement
reserve
Kshs '000'
( 39,725)
-
-","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
1 2,971,933
3 ,905,427","Translation
reserve
Kshs '000'
( 65,102)
-
( 151,635)","Total
Kshs '000'","Non controlling
interest
Kshs '000'
2 ,273,166
2 71,380
( 119,006)","Total
Kshs '000'"
"At 1 January 2016
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Statutory loan loss reserve
Transactions with owners:
Dividends Paid
Total transactions with owners for the period
Balance as at 30 June 2016",,,,,,,,,,,,,
,,,,,,,,"8 72,892",,,"3 1,448,133",,"3 3,721,299"
,,,,,,,,-,,,"3 ,905,427",,"4 ,176,807"
,,,,,,,,-,,,"2 29,269",,"1 10,263"
,-,-,-,"3 80,904",-,-,-,-,"3 ,905,427","( 151,635)","4 ,134,696","1 52,374","4 ,287,070"
,"-
-","-
-","-
-","-
-","1 9,669
-","3 6,193
-",-,"5 5,862","( 55,862)
( 1,373,267)","-
-",-,"-
( 103,810)",-
,,,,,,,,,,,-,,-
,,,,,,,,-,,,"( 1,373,267)",,"( 1,477,077)"
,-,-,-,-,-,-,-,-,"( 1,373,267)",-,"( 1,373,267)","( 103,810)","( 1,477,077)"
,,,,,,,,,,,-,-,-
,"3 92,362","1 7,331,510","4 46,744","( 121,302)","8 00,498","1 67,981","( 39,725)","9 28,754","1 5,448,231","( 216,737)","3 4,209,562","2 ,321,730","3 6,531,292"
- - - - - - - - - - -,,,,,,,,,,,,,
For the year ended 31 December 2015,"Share
capital
Kshs '000'
392,362
-
-","Share
premium
Kshs '000'
1 7,331,510
-
-","Revaluation
reserve
Kshs '000'
448,726
-
(1,982)","Available for sale
Reserve
Kshs '000'
( 342,834)
-
( 159,372)","Statutory Loans
reserve
Kshs '000'
773,698
-
-","General Banking
reserve
Kshs '000'
1 31,788
-
-","Retirement
reserve
Kshs '000'
(42,881)
-
3 ,156","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
7,360,529
6,717,452
38,933","Translation
reserve
Kshs '000'
6,346
-
(71,448)","Total
Kshs '000'","Non controlling
interest
Kshs '000'
2,046,898
426,959
(82,800)","Total
Kshs '000'"
"At 1 January 2015
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Statutory credit risk
Transactions with owners:
Dividends Paid
Total transactions with owners for the year
Balance as at 31 December 2015",,,,,,,,,,,,,
,,,,,,,,"8 62,605",,,"26,059,244",,"28,106,142"
,,,,,,,,-,,,"6,717,452",,"7,144,411"
,,,,,,,,"3 ,156",,,"(190,713)",,"(273,513)"
,-,-,"(1,982)","( 159,372)",-,-,"3 ,156","3,156","6,756,385","(71,448)","6,526,739","344,159","6,870,898"
,"-
-","-
-",-,-,"7,131
-",-,-,"7,131","(7,131)
(1,137,850)",-,-,"-
(117,891)",-
,,,,,,,,-,,,"(1,137,850)",,"(1,255,741)"
,-,-,-,-,-,-,-,-,"(1,137,850)",-,"(1,137,850)","(117,891)","(1,255,741)"
,,,,,,,,,,,-,,
,"392,362","1 7,331,510","446,744","( 502,206)","780,829","1 31,788","(39,725)","872,892","12,971,933","(65,102)","31,448,133","2,273,166","33,721,299"
- - - - - - - - - - -,,,,,,,,,,,,,
6 months period to 30 June 2015,"Share
capital
Kshs '000'
3 92,362
-
-","Share
premium
Kshs '000'
1 7,331,510
-
-","Revaluation
reserve
Kshs '000'
4 48,726
-
( 2,339)","Available for sale
Reserve
Kshs '000'
( 342,834)
-
( 7,988)","Statutory Loans
reserve
Kshs '000'
7 73,699
-
-","General Banking
reserve
Kshs '000'
1 31,788
-
-","Retirement
reserve
Kshs '000'
( 42,881)
-
6 ,095","Total
reserve
Kshs '000'","Retained
earnings
Kshs '000'
7 ,360,529
3 ,184,870
3 8,933","Translation
reserve
Kshs '000'
6 ,346
-
( 57,611)","Total
Kshs '000'","Non controlling
interest
Kshs '000'
2 ,046,898
2 11,437
( 39,202)","Total
Kshs '000'"
"At 1 January 2015
Total comprehensive income for the period
Net profit after tax
Other comprehensive income
Total comprehensive income for the period
Statutory loan loss reserve
Transactions with owners:
Dividends Paid
Balance as at 30 June 2015",,,,,,,,,,,,,
,,,,,,,,"8 62,606",,,"2 6,059,245",,"2 8,106,143"
,,,,,,,,-,,,"3 ,184,870",,"3 ,396,307"
,,,,,,,,"6 ,095",,,"( 22,910)",,"( 62,112)"
,-,-,"( 2,339)","( 7,988)",-,-,"6 ,095","6 ,095","3 ,223,803","( 57,611)","3 ,161,960","1 72,235","3 ,334,195"
,"-
-","-
-","-
-","-
-","-
-","2 0,078
-","-
-","2 0,078","( 20,078)
( 1,137,850)","-
-",-,"-
( 115,982)",-
,,,,,,,,,,,-,,-
,,,,,,,,-,,,"( 1,137,850)",,"( 1,253,832)"
,,,,,,,,,,,-,-,-
,"3 92,362","1 7,331,510","4 46,387","( 350,822)","7 73,699","1 51,866","( 36,786)","8 88,779","9 ,426,404","( 51,265)","2 8,083,355","2 ,103,151","3 0,186,506"
