Details,2023,2022
,KShs,KShs
Salary,"52,512,427","49,575,263"
Bonus,"18,094,681","6,854,046"
Pension,"4,179,194","3,950,330"
Insurance,"1,954,932","1,334,571"
Total,"76,741,234","61,714,210"
