Loan to Deposit Ratio,63%,79%,83%,82%
Net NPA,2.4%,1.6%,1.0%,4.0%
"Total Capital/Total Risk
Weighted Assets",18%,21%,20%,19%
Liquidity Ratio,42%,42%,42%,51%
