Name of Director,"20 March
2015","19 June
2015","22 September
2015","8 December
2015","Total Board
Meetings
attended in 2015"
S B R Shah (Chairman),√,√,√,√,100%
Michael J Karanja **,√,X,-,-,-
"Eric M Kimani
Sarit S Raja Shah","√
√",√,√,X,75%
,,√,√,X,75%
Sachit Shah,√,√,√,√,100%
Paul C M Kibati,√,√,√,√,100%
M Soundararajan,√,√,X,√,75%
Arun S Mathur,√,√,√,√,100%
A N Koigi***,-,√,√,√,100%
