"OUR
Statement of Comprehensive
HISTORY
Income",YTD Mar-20,YTD Mar-21,"Mar 21 vs Mar
20",Comments
,Kshs Mn,Kshs Mn,Y-Y %,
,,"4,313",,
,,"1,825",,
Total Operating Income,"5,714","6,139",7%,
,,"2,804",,
"Profit before Loan Loss
Provisions","3,249","3,335",3%,
,,759,,
Profit before Share of JV,"2,694","2,576",-4%,
,,84,,
Profit Before Tax,"2,487","2,660",7%,
,,"1,887",,
