Key Ratios,Q1 2023,FY 2022,Q1 2022,Q1 2021
"Cost to income
ratio",65%,67%,74%,70%
Cost of Risk,-0.2%,-0.2,-0.6%,0.3%
ROE,15%,14%,11%,7%
ROA,1.2%,2.5%,0.8%,0.4%
