Column,"Statement of Financial
Position",Sep-20,Dec-20,Sep-21,Sep 21 vs Sep 20,Comments
,,KshsMn,KshsMn,KshsMn,Y-Y %,
"Cash & Bank Balances 14,869 19,403
Investments & Placements 112,615 120,047
Loans & Advances (net) 185,694 187,391
Other Assets 31,494 31,258",,,,"24,568","Cash & Bank balances increase was partly attributed to
65%
the balances in the Uganda entity.
Loans & Advances growth on the back of lending to
14%
private sector and contribution from I&M Bank Uganda
(formerly Orient bank Uganda).
12%
Other assets growth driven by increase in
fixed/intangible assets and clearing balances.
21%",
,,,,"128,742",,
,,,,"207,605",,
,,,,"38,153",,
,Total Assets,"344,671","358,100","399,069",16%,
"Customer Deposits 252,829 262,681
Borrowings 11,724 14,773
Other Liabilities 16,277 12,582",,,,"288,685","14%
Customer deposit growth driven by 31% increase in
CASA deposits.
73%
Increase in DFI funding from IFC to support SME sector.
10%",
,,,,"20,318",,
,,,,"17,854",,
,Total Liabilities,"280,830","290,037","326,858",16%,
"Shareholders' Funds 63,841 68,063",,,,,13%,
,,,,"72,212",,
