Standards,Column
IFRS 9 Financial Instruments,"IFRS 9 Financial Instruments - clarifies which fee should be
included in the 10% test for derecognition of financial liabilities."
IFRS 16 Leases,"IFRS 16 Leases - amendment of illustrative example 13 to remove
the illustration of payments from the lessor relating to leasehold
improvements, to remove any confusion about the treatment of
lease incentives."
"IFRS 1 First-time Adoption of International Financial Reporting
Standards","IFRS I First-time Adoption of International Financial Reporting
Standards - allows entities that have measured their assets and
liabilities at carrying amounts recorded in their parent's books
to also measure any cumulative translation differences using the
amounts reported by the parent. This amendment will also apply
to associates and joint ventures that have taken the same IFRS I
exemption."
