Type of service,"Nature of timing of satisfaction of performance, obligations,
including significant payment terms",Revenue recognition policies under IFRS 15
Transactional service fees,"Consist of fees charged for processing services such as cash
management, global payments, clearing, international funds
transfer and other trade services","Recognized as/when the associated service is satisfied,
which normally occurs at the point in time the service is
requested by the customer and provided"
Deposit-related fees,"Consist of service charges on deposit accounts and fees
earned from performing cash management activities and
other deposit account services.","Fees are recognized in the period in which the related
service is provided"
"Insurance distribution revenue/com-
mission","Commissions earned from third-party insurance companies
for marketing and selling insurance policies.","Commissions are recognized in Commissions and fees at the
point in time the associated service is fulfilled- when the
insurance policy is sold to the policyholder."
Credit card and bank card income,"Composed of ATM fees, interchange fees, Issuance fees,
annual fees which are earned by card issuers based on pur-
chase sales, and certain card fees, including annual fees. Costs
related to customer reward programs and certain payments to
partners (primarily based on program sales, profitability and
customer acquisitions","Costs related to card reward programs are recognized when
the rewards are earned by the cardholders. Payments to
partners are recognized when incurred.
ATM fees and interchange fees earned and recognized when
a customer transacts. Issuance fees on card issue and annual
fees on anniversary date."
