Particulars,Dec -15,Dec-16,Dec-17,Dec-18,Dec-19,19 vs 18
,Kshs Mn,Kshs Mn,Kshs Mn,Kshs Mn,Kshs Mn,Y-Y % ▲
,,,,,"15,510",
,,,,,"8,285",
Total Operating Income,"17,239","20,495","21,317","23,191","23,795",3%
,,,,,"9,461",
"Profit before Loan Loss
Provisions","10,827","13,116","13,484","14,710","14,334",-3%
,,,,,636,
Profit before Share of JV,"9,844","10,159","9,340","10,903","13,698",26%
,,,,,905,
Profit Before Tax,"10,167","10,603","9,895","11,498","14,603",27%
,,,,,"10,769",
,,,,,12.47,
,,,,,2.55,
