New standard or amendments,Effective for annual period beginning or after
IFRS 3 Definition of a Business,1 January 2020
"Amendments to references to the Conceptual
Framework in IFRS Standards",1 January 2020
Amendments to IAS 1 and IAS 8 Definition of Material,1 January 2020
IFRS 17 Insurance contracts,1 January 2022
"Sale or Contribution of Assets between an Investor
and its Associate or Company (Amendments to IFRS
10 and IAS 28).",To be determined
