"2018
Frw’000"
"5,050,000"
"400,000"
"29,657,845"
"35,107,845"
"500,000"
"( 4,785,353)"
"30,822,492"
"512,474"
"8,791,009"
"9,303,483"
"40,125,975"
"223,931,345"
13.76%
17.92%
