Thematic Focus Areas,Strategic Goal
Environmental Conservation,"Reducing direct and indirect negative environmental impact by targeting interventions
in reforestation and afforestation, green innovation, waste management, among others"
"Education and Skills
Development","Enhancing education outcomes that lead to future jobs by supporting vulnerable
children, including youth with disability, access quality education and key life skills"
Economic Empowerment,"Empowering youth and micro, small and medium enterprises (MSMEs) by improving
their skillset and enhancing their networking opportunities"
Enabling Local Giving,"Networking with philanthropy groups to support initiatives aimed at developing local
philanthropy and growing a culture of giving that leads to sustainable development"
"SCB (Stakeholders’ Community
– based) Initiatives",Supporting community-based initiatives that respond to local grass root needs
