"Cost to
income ratio",65%,60%,57%,60%
Cost of Risk*,0.6%,1.4%,2.0%,1.0%
ROE*,12.9%,13.9%,14.0%,13.0%
ROA*,1.8%,1.9%,2.0%,2.0%
