RESOLUTION,FOR,AGAINST,WITHHELD
"1. Approval of the Group’s audited financial statements for the year ended 31st
December 2023 together with the Chairman’s, Directors’ and Auditors’ reports
thereon",,,
"2. Approval of the Directors’ remuneration as provided in the accounts for the year
ended 31st December, 2023",,,
"3. Approval of the first and final dividend of Kshs. 2.55 per share amounting to
Kshs.4,216, 734,763 for the year ended 31st December 2023. The dividend will
be payable to the shareholders in the Company’s Register of Members at the close
of business on Thursday 18th April 2024 and will be paid on or around Friday 24th
May 2024.",,,
4. Re-election of Mr. S B R Shah,,,
5. Re-election of Mr. Oliver M Fowler,,,
6. Re-election of Mr. Naval Kidar Nath Gurdittamal Sood,,,
7. Re-election of Mr. Sachit S. Shah,,,
