Key Ratios,H1 2023,FY 2022,H1 2022
"Cost to income
ratio",88%,90%,92%
Cost of Risk,0.5%,-7%,-6.5%
ROE,1.9%,7.3%,1.4%
ROA,0.2%,1.2%,0.4%
