Key Ratios,2022,2023,2024
,10.8%,11.7%,14.3%
,2.6%,5.1%,5.3%
,79%,76%,71%
,36%,40%,41%
,2.3%,2.6%,2.6%
,18.3%,17.4%,18.5%
,3.1%,2.7%,2.8%
