"Cost to income
ratio",82%,90%,92%,108%
Cost of Risk*,1.1%,-7%,2.2%,0.4%
ROE*,3.4%,7.3%,-4.0%,-38%
ROA*,0.7%,1.2%,-0.5%,-4.0%
