Column,Group,Column,Company,Column
Note,2023,2022,2023,2022
,KShs ‘000,,KShs ‘000,
,"41,275,497",,-,
,"399,994",,-,
,"59,176,989",,"312,326",
,"311,330,840",,-,
,"2,779,798",,-,
,"60,287,145",,"876,832",
,"54,350,036",,-,
,"307,501",,-,
,-,,"3,264,319",
,"690,697",,-,
,"7,349,298",,"2,318",
,"7,878,467",,"2,515,591",
,-,,"32,298,390",
,"14,487,824",,-,
,"4,315,881",,-,
,"3,176,250",,-,
,"11,913,221",,523,
,"579,719,438",,"39,270,299",
,"39,499,089",,-,
,"416,674,435",,-,
,"769,041",,-,
,"219,406",,"71,095",
,"8,109,564",,"148,744",
,"476,359",,-,
,"5,739,099",,-,
,"12,532,190",,-,
,"484,019,183",,"219,839",
,"1,653,621",,"1,653,621",
,"17,561,629",,"17,561,629",
,"57,859,356",,"19,925,168",
,"1,241,566",,-,
,"( 5,046,809)",,"(89,958)",
,"3,838,683",,-,
,"11,249,371",,-,
,"( 184,268)",,-,
,"88,173,149",,"39,050,460",
,"7,527,106",,-,
,"95,700,255",,"39,050,460",
,"579,719,438",,"39,270,299",
