Name of Director,Number of Shares,% Shareholding
"Suresh Bhagwanji Raja Shah, MBS","174,947,573",10.58%
Sarit S. Raja Shah,"37,595,103",2.27%
Sachit S. Raja Shah,"37,152,231",2.25%
C. Kihara Maina,"448,112",0.03%
