Strategic Imperative Target Outcome,Column,Column
"Geographic
Expansion","Increase PBT
contribution
from Regional
Subsidiaries to
>20%","• With the acquisition of Orient Bank Uganda PBT Contribution by Regional Subsidiaries
(rebranded as I&M Bank Uganda) in 2021, the
Group solidified its presence in East Africa. 0ur
regional footprint is now up to 5 countries.
• PBT from Regional subsidiaries grew from KShs
0.6B in 2020 to KShs 4.6 Billion in 2023 at a
CAGR of 11.1% with contribution increasing
from an average of 13% pre 2020 to 24% in
2023.
• USD 7 Million in revenue was mobilized from FY2020 FY2021 FY2022 FY2023
previously untapped regional customers."
"Segment and
Product
Expansion","Growth by
Strengthening
our Corporate
and Institutional
Banking (CIB)
Leadership","CIB - Operating Income
• Over the planning period, our CIB business grew
(KShs Bn)
at a CAGR of 34%
• Operating income of 17.5B up 45% from 20222
primarily driven by our continued investments 17.5
in building a compelling and differentiated 45%
proposition. 12.1
• Robust balance sheet growth with 33% growth in 5%
11.5
Loans and advances and 44% growth in customer
deposits.
• Our diversification into new sectors such as Oil
and Gas and Public Sector have allowed us to
match our high LC volumes to the trade income. FY2021 FY2022 FY2023"
,,"• Strong income growth of 37% in 2023 with a
PBB - Operating Income
3-year CAGR of 29% to close at KShs 21 Billion.
(KShs Bn)
• Accelerated (2.3 times) retail and business
banking customer growth from 248K in 2020 to
21.0
560k in 2023. Customer growth supported by
37%
a mix of targeted marketing and customer led
propositions. 15.3
• Balance sheet yoy growth of 24% and 28% on 12.6 21%
Loans and deposits respectively.
• Entry into new segments such as unsecured
digital lending, supply chain and stock financing.
• Mix of Physical & Digital Distribution to continue
supporting aggressive growth prospects. FY2021 FY2022 FY2023"
