"2010
KShs
185,251,326
1,252,515,935"
"1,437,767,261"
"136,353,699
1,006,625,080
9,869,683,566"
"11,012,662,345"
"7,781,499,894
125,746,212"
"7,907,246,106"
"18,919,908,451
1,867,523,812"
"20,787,432,263"
