New standards or amendments,Effective for annual period beginning
"Classification of liabilities as Current or Non-Current and
Non-current Liabilities with Covenants (Amendments to IAS 1 1 January 2024
Presentation of Financial Statements)",
Lease Liability in a Sale and Leaseback – Amendments to IFRS 16,1 January 2024
"Supplier Finance Arrangements –
1 January 2024
Amendments to IAS 7 and IFRS 7",
"Sale or Contribution of Assets between an Investor and its As-
sociate or Joint Venture (Amendments to IFRS 10 Consolidated
Financial Statements and IAS 28 Investments in Associates and
Joint Ventures)",Optional
Lack of Exchangeability – Amendments to IAS 21 1 January 2025,
